Date,MNDATA.Death,MNDATA.DeathConfirmed
2020-6-9,1228,1217
2020-6-10,1267,1236
2020-6-11,1280,1249
2020-6-12,1305,1274
2020-6-13,1314,1283
2020-6-14,1329,1298
2020-6-15,1335,1304
2020-6-16,1344,1313
2020-6-17,1357,1325
2020-6-18,1376,1344
2020-6-19,1393,1361
2020-6-20,1404,1372
2020-6-21,1412,1380
2020-6-22,1416,1384
2020-6-23,1425,1393
2020-6-24,1432,1397
2020-6-25,1441,1406
2020-6-26,1446,1411
2020-6-27,1452,1417
2020-6-28,1460,1425
2020-6-29,1470,1435
2020-6-30,1476,1441
2020-7-1,1482,1445
2020-7-2,1495,1458
2020-7-3,1503,1466
2020-7-4,1503,1466
2020-7-5,1508,1471
2020-7-6,1511,1474
2020-7-7,1514,1477
2020-7-8,1523,1485
2020-7-9,1528,1490
2020-7-10,1533,1495
2020-7-11,1537,1499
2020-7-12,1540,1502
2020-7-13,1542,1504
2020-7-14,1548,1510
2020-7-15,1558,1518
2020-7-16,1566,1526
2020-7-17,1573,1533
2020-7-18,1578,1538
2020-7-19,1581,1541
2020-7-20,1585,1545
2020-7-21,1588,1548
2020-7-22,1592,1552
2020-7-23,1601,1561
2020-7-24,1606,1566
2020-7-25,1611,1571
2020-7-26,1614,1574
2020-7-27,1616,1576
2020-7-28,1620,1580
2020-7-29,1629,1589
2020-7-30,1634,1594
2020-7-31,1640,1600
2020-8-1,1646,1606
2020-8-2,1654,1614
2020-8-3,1656,1616
2020-8-4,1660,1620
2020-8-5,1670,1629
2020-8-6,1677,1636
2020-8-7,1681,1640
2020-8-8,1689,1648
2020-8-9,1698,1657
2020-8-10,1701,1660
2020-8-11,1707,1666
2020-8-12,1724,1678
2020-8-13,1731,1685
2020-8-14,1739,1693
2020-8-15,1745,1699
2020-8-16,1752,1706
2020-8-17,1758,1712
2020-8-18,1767,1721
2020-8-19,1784,1738
2020-8-20,1791,1745
2020-8-21,1799,1753
2020-8-22,1807,1761
2020-8-23,1813,1767
2020-8-24,1817,1771
2020-8-25,1825,1779
2020-8-26,1842,1793
2020-8-27,1855,1806
2020-8-28,1859,1810
2020-8-29,1863,1814
2020-8-30,1865,1816
2020-8-31,1866,1817
2020-9-1,1872,1823
2020-9-2,1882,1830
2020-9-3,1889,1837
2020-9-4,1899,1847
2020-9-5,1903,1851
2020-9-6,1909,1857
2020-9-7,1912,1860
2020-9-8,1914,1862
2020-9-9,1921,1869
2020-9-10,1936,1884
2020-9-11,1949,1897
2020-9-12,1958,1906
2020-9-13,1971,1919
2020-9-14,1974,1922
2020-9-15,1979,1927
2020-9-16,1985,1933
2020-9-17,1994,1942
2020-9-18,2002,1950
2020-9-19,2015,1963
2020-9-20,2017,1965
2020-9-21,2021,1969
2020-9-22,2031,1979
2020-9-23,2037,1985
2020-9-24,2040,1988
2020-9-25,2046,1994
2020-9-26,2056,2004
2020-9-27,2060,2008
2020-9-28,2067,2015
2020-9-29,2072,2020
2020-9-30,2089,2036
2020-10-1,2102,2049
2020-10-2,2112,2059
2020-10-3,2126,2073
2020-10-4,2133,2080
2020-10-5,2136,2083
2020-10-6,2140,2087
2020-10-7,2154,2101
2020-10-8,2160,2107
2020-10-9,2174,2121
2020-10-10,2184,2131
2020-10-11,2194,2141
2020-10-12,2197,2144
2020-10-13,2204,2151
2020-10-14,2180,2174
2020-10-15,2199,2192
2020-10-16,2212,2203
2020-10-17,2217,2208
2020-10-18,2234,2224
2020-10-19,2239,2229
2020-10-20,2246,2235
2020-10-21,2281,2269
2020-10-22,2301,2289
2020-10-23,2314,2302
2020-10-24,2328,2316
2020-10-25,2349,2335
2020-10-26,2353,2339
2020-10-27,2368,2354
2020-10-28,2387,2373
2020-10-29,2419,2404
2020-10-30,2437,2420
2020-10-31,2457,2438
2020-11-1,2475,2455
2020-11-2,2484,2463
2020-11-3,2499,2478
2020-11-4,2530,2505
2020-11-5,2555,2530
2020-11-6,2591,2563
2020-11-7,2625,2597
2020-11-8,2656,2626
2020-11-9,2675,2645
2020-11-10,2698,2668
2020-11-11,2754,2720
2020-11-12,2793,2756
2020-11-13,2839,2802
2020-11-14,2874,2836
2020-11-15,2905,2861
2020-11-16,2917,2873
2020-11-17,2943,2898
2020-11-18,3010,2961
2020-11-19,3082,3029
2020-11-20,3150,3093
2020-11-21,3201,3141
2020-11-22,3241,3181
2020-11-23,3265,3205
2020-11-24,3303,3243
2020-11-25,3375,3313
2020-11-26,3375,3313
2020-11-27,3476,3410
2020-11-28,3521,3453
2020-11-29,3578,3507
2020-11-30,3593,3521
2020-12-1,3615,3543
2020-12-2,3692,3613
2020-12-3,3784,3701
2020-12-4,3845,3759
2020-12-5,3920,3829
2020-12-6,3984,3892
2020-12-7,4005,3913
2020-12-8,4027,3933
2020-12-9,4109,4011
2020-12-10,4198,4096
2020-12-11,4292,4186
2020-12-12,4359,4251
2020-12-13,4444,4334
2020-12-14,4462,4350
2020-12-15,4483,4369
2020-12-16,4575,4455
2020-12-17,4658,4534
2020-12-18,4723,4594
2020-12-19,4780,4649
2020-12-20,4850,4719
2020-12-21,4872,4739
2020-12-22,4896,4763
2020-12-23,4971,4834
2020-12-24,5050,4904
2020-12-25,5050,4904
2020-12-26,5107,4957
2020-12-27,5147,4993
2020-12-28,5160,5003
2020-12-29,5196,5038
2020-12-30,5262,5100
2020-12-31,5323,5151
2021-1-1,5323,5151
2021-1-2,5377,5201
2021-1-3,5430,5248
2021-1-4,5443,5259
2021-1-5,5461,5275
2021-1-6,5528,5340
2021-1-7,5572,5381
2021-1-8,5620,5425
2021-1-9,5663,5463
2021-1-10,5707,5506
2021-1-11,5711,5509
2021-1-12,5724,5521
2021-1-13,5774,5567
2021-1-14,5817,5606
2021-1-15,5850,5637
2021-1-16,5887,5673
2021-1-17,5927,5710
2021-1-18,5939,5721
2021-1-19,5945,5726
2021-1-20,5979,5756
2021-1-21,6011,5785
2021-1-22,6032,5805
2021-1-23,6063,5832
2021-1-24,6095,5857
2021-1-25,6098,5859
2021-1-26,6106,5867
2021-1-27,6124,5882
2021-1-28,6140,5896
2021-1-29,6168,5921
2021-1-30,6187,5940
2021-1-31,6200,5952
2021-2-1,6202,5953
2021-2-2,6210,5961
2021-2-3,6234,5980
2021-2-4,6251,5997
2021-2-5,6273,6014
2021-2-6,6289,6028
2021-2-7,6299,6038
2021-2-8,6302,6041
2021-2-9,6308,6046
2021-2-10,6319,6057
2021-2-11,6343,6081
2021-2-12,6362,6097
